paper_id,paper_title,cell_type,mode,model,experimental_stimulus,neural_activity,behavioral_consequence,ecological_context,techniques_used,summary
ac59debc7d0f9411cbc934202195760d7caa1d32,A competitive disinhibitory network for robust optic flow processing in Drosophila,H2rn,experimental,qwen3.5:35b,"Binocular asymmetric, binocular symmetric, translational, and velocity-tuned motion",More sensitive to faster than slower speeds (contrast to H2 cells); responded to both contralateral regressive and progressive motion despite no direct HS input.,Not directly tested in this study.,Part of the central network supporting steering control and optic flow processing.,"['Two-photon calcium imaging', 'Electron microscopy (EM)']",H2rn interneurons exhibit velocity tuning distinct from H2 cells and receive inputs that convey visual information indirectly to the network.
ac59debc7d0f9411cbc934202195760d7caa1d32,A competitive disinhibitory network for robust optic flow processing in Drosophila,HS and H2 cells,experimental,qwen3.5:35b,"Binocular asymmetric, binocular symmetric, translational, and monocular optic flow",Responded to both rotational and translational optic flow; relatively weak selectivity to rotational vs. translational compared to downstream partners.,Not tested in this study (referenced as driving rotations in prior work).,Course control and steering during high-speed translation.,"['Two-photon calcium imaging', 'Electron microscopy (EM)']","HS and H2 cells form the input layer of the network, responding to horizontal optic flow and providing convergent input to central interneurons."
ac59debc7d0f9411cbc934202195760d7caa1d32,A competitive disinhibitory network for robust optic flow processing in Drosophila,VS cells,experimental,qwen3.5:35b,"Horizontal, pitch, and roll optic flow",Identified via EM connectivity; form a distinct network from HS-H2.,Not tested in this study.,Gaze stabilization and course control.,['Electron microscopy (EM)'],"VS cells form a distinct central network with parallel operation to the HS-H2 network, projecting to different descending and neck motor outputs."
e8dbe522b465ee34788d12384a7ae6dab6ce9060,Specialized parallel pathways for adaptive control of visual object pursuit,AOTU019,experimental,qwen3.5:35b,Small moving objects ('motion pulses') on visual panorama; Optogenetic arousal (P1 stimulation); Variations in forward velocity,"Responds best to objects near visual midline; Direction-selective (prefers ipsiversive motion); GABAergic (inhibitory); Depolarizes and increases firing rate with arousal; Visual responses increase with forward velocity (graded, nearly linear)",Direct depolarization causes ipsilateral turning and increases forward velocity; Suppression decreases steering toward visual object during pursuit; Suppression blunts forward acceleration when object crosses midline (open-loop),Courtship pursuit where aroused males chase a running female,"['Patch-clamp electrophysiology', 'Optogenetics', 'Genetic suppression (Kir2.1)', 'Behavioral assays (spherical treadmill, virtual reality)']","AOTU019 cells detect objects near the midline, are direction-selective, and increase steering gain during arousal and fast running. Depolarization drives turning and forward velocity, while suppression impairs precise steering."
e8dbe522b465ee34788d12384a7ae6dab6ce9060,Specialized parallel pathways for adaptive control of visual object pursuit,AOTU025,experimental,qwen3.5:35b,Small moving objects ('motion pulses') on visual panorama; Optogenetic arousal (P1 stimulation),Responds best to objects far from midline (lateral visual field); Less direction-selective than AOTU019; Cholinergic (excitatory); Increases firing rate with arousal (less than AOTU019),Direct depolarization causes ipsilateral turning,Courtship pursuit where aroused males chase a running female,"['Patch-clamp electrophysiology', 'Optogenetics']","AOTU025 cells detect objects far from the midline and are excitatory. Activation drives ipsilateral turning, contributing to coarse steering toward the midline."
e8dbe522b465ee34788d12384a7ae6dab6ce9060,Specialized parallel pathways for adaptive control of visual object pursuit,DNa02,experimental,qwen3.5:35b,Small moving objects ('motion pulses'),Right-left firing rate asymmetry predicted by combined activity of AOTU019 and AOTU025,Visual responses predict rotational velocity,Steering control during visual object pursuit,['Patch-clamp electrophysiology'],DNa02 activity asymmetry reflects AOTU input and predicts rotational velocity during visual pursuit.
e527a5d586929eeef866183affaf83caabf3de88,Cell type-specific driver lines targeting the Drosophila central complex and their use to investigate neuropeptide expression and sleep regulation,hDeltaF,experimental,qwen3.5:35b,Thermogenetic activation (dTrpA1) and Optogenetic activation (CsChrimson),"Activation via split-GAL4 drivers (SS54903, SS53683, SS63959) comprising eight intrinsic FB columnar neurons",Decreased sleep duration and increased P(Wake) in males and females. Phenotypes more pronounced for nighttime sleep in males. No increase in activity measures (beam counts/pixel movements).,Sleep regulation and activity control within the central complex.,"['split-GAL4 driver lines', 'thermogenetics', 'optogenetics', 'DAM monitoring', 'video tracking']",hDeltaF neurons are strongly wake-promoting; activation decreases sleep duration and increases P(Wake) without increasing general activity.
e527a5d586929eeef866183affaf83caabf3de88,Cell type-specific driver lines targeting the Drosophila central complex and their use to investigate neuropeptide expression and sleep regulation,PEN_b,experimental,qwen3.5:35b,Thermogenetic activation (dTrpA1) and Optogenetic activation (CsChrimson),"Activation via split-GAL4 lines (SS02232, SS54295) comprising 22 columnar neurons linking EB, PB and noduli",Decreases sleep duration and increases P(Wake) in males; wake-promoting in females (SS02232). Optogenetic activation suppresses sleep and increases P(Wake) in both sexes.,Activity regulation and sleep homeostasis involving EB-PB-Noduli circuitry.,"['split-GAL4 driver lines', 'thermogenetics', 'optogenetics', 'DAM monitoring']","PEN_b activation is wake-promoting, decreasing sleep duration and increasing wake probability in both sexes."
e527a5d586929eeef866183affaf83caabf3de88,Cell type-specific driver lines targeting the Drosophila central complex and their use to investigate neuropeptide expression and sleep regulation,PFGs (Protocerebral Bridge Fan-shaped Body Glutamatergic neurons),experimental,qwen3.5:35b,Thermogenetic activation (dTrpA1) and Optogenetic activation (CsChrimson); EASI-FISH,"Express tyramine (Tdc2 positive, Tbh negative) as neurotransmitter. Activation via split-GAL4 lines (SS52547, SS62596, SS52590, SS20046).","Sexually dimorphic sleep behavior. Optogenetic activation increased sleep in females; mild increase in one male line. P(Doze) consistently higher in males and females. Thermogenetics showed increased sleep in two lines, decreased in one (SS20046).",Sex-specific sleep regulation and activity control.,"['split-GAL4 driver lines', 'thermogenetics', 'optogenetics', 'EASI-FISH', 'DAM monitoring', 'video tracking']","PFGs use tyramine as a neurotransmitter and show sex-specific sleep-promoting effects upon activation, increasing P(Doze)."
e527a5d586929eeef866183affaf83caabf3de88,Cell type-specific driver lines targeting the Drosophila central complex and their use to investigate neuropeptide expression and sleep regulation,EL (Ellipsoid Body neurons),experimental,qwen3.5:35b,Thermogenetic activation (dTrpA1) and Optogenetic activation (CsChrimson),Activation via split-GAL4 lines (SS00026 and others).,Decreases sleep and increases P(Wake) on Day 2. Thermogenetic activation decreased sleep in one line.,Sleep regulation within the central complex.,"['split-GAL4 driver lines', 'thermogenetics', 'optogenetics', 'DAM monitoring', 'video tracking']",EL neuron activation decreases sleep duration and increases wake probability.
e527a5d586929eeef866183affaf83caabf3de88,Cell type-specific driver lines targeting the Drosophila central complex and their use to investigate neuropeptide expression and sleep regulation,hDeltaK,experimental,qwen3.5:35b,Thermogenetic activation (dTrpA1) and Optogenetic activation (CsChrimson),"Activation via split-GAL4 lines (SS59455, SS63089, SS54676, SS59410). Highly peptidergic intrinsic columnar neurons.","Inconsistent results across lines. One line (SS59410) wake-promoting in both sexes. Two lines (SS59455, SS63089) sleep-promoting in males. Optogenetic results varied similarly. Authors could not make an overall conclusion.","Potential role in sleep regulation, though experimental outcomes were not consistent.","['split-GAL4 driver lines', 'thermogenetics', 'optogenetics', 'DAM monitoring']","hDeltaK activation showed inconsistent effects on sleep across different driver lines, with some wake-promoting and others sleep-promoting in males."
e527a5d586929eeef866183affaf83caabf3de88,Cell type-specific driver lines targeting the Drosophila central complex and their use to investigate neuropeptide expression and sleep regulation,SMP368,experimental,qwen3.5:35b,Thermogenetic activation (dTrpA1) and Optogenetic activation (CsChrimson),"Activation via split-GAL4 lines (SS74918, SS74944). Connects central clock outputs to the CX.","Strongly wake-promoting in both sexes. Decreased sleep duration, increased P(Wake), decreased P(Doze).",Links circadian clock outputs to the central complex to regulate wakefulness.,"['split-GAL4 driver lines', 'thermogenetics', 'optogenetics', 'DAM monitoring']","SMP368 activation strongly suppresses sleep and increases wake probability, suggesting a role in clock-to-CX communication."
e527a5d586929eeef866183affaf83caabf3de88,Cell type-specific driver lines targeting the Drosophila central complex and their use to investigate neuropeptide expression and sleep regulation,SMP531,experimental,qwen3.5:35b,Thermogenetic activation (dTrpA1) and Optogenetic activation (CsChrimson),Activation via split-GAL4 line (SS79089). Part of a potential pathway from clock outputs to the CX.,Suppresses sleep when activated in both males and females. Increases P(Wake) and decreases P(Doze).,Part of a pathway connecting circadian clock outputs to the CX.,"['split-GAL4 driver lines', 'thermogenetics', 'optogenetics', 'DAM monitoring']","SMP531 activation suppresses sleep and increases wake probability, linking clock outputs to the CX."
e527a5d586929eeef866183affaf83caabf3de88,Cell type-specific driver lines targeting the Drosophila central complex and their use to investigate neuropeptide expression and sleep regulation,dFB cell types (R84C10 combinations),experimental,qwen3.5:35b,Thermogenetic activation (dTrpA1),"Activation via five split-GAL4 lines utilizing R84C10 hemidriver, representing different dorsal FB tangential cell types.",Mixed effects: some lines sleep promoting and others wake promoting. No detectable VNC expression.,Dorsal fan-shaped body involvement in sleep/activity regulation.,"['split-GAL4 driver lines', 'thermogenetics', 'DAM monitoring']",Combinations of dFB cell types show mixed sleep-promoting or wake-promoting effects upon thermogenetic activation.
e527a5d586929eeef866183affaf83caabf3de88,Cell type-specific driver lines targeting the Drosophila central complex and their use to investigate neuropeptide expression and sleep regulation,CX Cell Types (General Survey),experimental,qwen3.5:35b,EASI-FISH on split-GAL4 marked brains; RNA profiling,51 of 85 CX cell types expressed at least one neuropeptide; 21 expressed multiple neuropeptides. All neuropeptide-expressing cell types also expressed a small neurotransmitter. Examples: PFGs express tyramine; FB4K expresses acetylcholine and glutamate.,No direct behavioral testing for the general survey; specific subtypes linked to sleep via activation screen.,Highly peptidergic region of the brain involved in navigation and activity regulation.,"['split-GAL4 driver lines', 'EASI-FISH', 'RNA profiling']","Survey of 80+ CX cell types shows more than half express a neuropeptide, and all neuropeptide-expressing cells also express a small molecule neurotransmitter."
464557a65e4ea9d4b32a19dd908cbbd1f0207e0a,Activity of a descending neuron associated with visually elicited flight saccades in Drosophila.,DNp03,experimental,qwen3.5:35b,"Visual looming stimuli (expanding dark circles on bright background), moving square, dimming control, and optogenetic red light activation","Whole-cell patch-clamp recordings showed state-dependent spiking: graded depolarization to ipsilateral looming at rest, action potentials during flight, and hyperpolarization to contralateral looming. Sustained activity after stimulus end predicted saccade execution.","Activity correlated with changes in wing stroke amplitude (saccades) in tethered flight. Optogenetic activation initiated rapid free-flight saccades (increased angular velocity, heading change up to 180 degrees).",Mediates evasive turns during flight in response to approaching threats (predators).,"['Whole-cell patch-clamp electrophysiology', 'Visual stimulation (LED panels)', 'Wing kinematics recording', 'Optogenetics (csChrimson)', '3D free-flight tracking']","DNp03 neurons exhibit state-dependent spiking in response to looming during flight, correlate with evasive saccades, and optogenetic activation triggers rapid turns."
464557a65e4ea9d4b32a19dd908cbbd1f0207e0a,Activity of a descending neuron associated with visually elicited flight saccades in Drosophila.,DNaX (DNa15),experimental,qwen3.5:35b,Optogenetic red light activation,Expression of csChrimson in DNaX neurons.,"Bilateral activation increased angular velocity and caused change in flight direction (turns), similar to optogenetically elicited saccades.",Associated with escape saccades during free flight.,"['Optogenetics', '3D free-flight tracking']","DNaX neurons, when activated optogenetically, initiate rapid flight turns similar to DNp03 activation."
7bf6dbd0bbc3f1314d3bbfd463b024c120b4ac4a,Social state alters vision using three circuit mechanisms in Drosophila,aIPg,experimental,qwen3.5:35b,Thermogenetic activation (TrpA) or optogenetic activation (Chrimson); visual stimulation in norpA mutants,Excitatory input to TuTuA_1 (electrophysiology/calcium imaging); direct inputs to AOTU cells and IB112 (connectome),Activation induces prolonged aggressive behavior in females; aggression is abolished in norpA visual mutants,Female-female aggression; requires visual cues to locate conspecifics,"['optogenetics', 'thermogenetics', 'two-photon calcium imaging', 'patch-clamp electrophysiology', 'behavioral tracking']","aIPg neurons drive female aggression in a vision-dependent manner, utilizing multiple downstream circuit mechanisms including TuTuA neurons and IB112."
7bf6dbd0bbc3f1314d3bbfd463b024c120b4ac4a,Social state alters vision using three circuit mechanisms in Drosophila,LC10a,experimental,qwen3.5:35b,Moving dark rectangles of varying sizes and speeds (two-photon imaging); aIPg activation (behavioral silencing),Tuned to medium-sized moving objects (15–30° angular width/height); prolonged calcium response to slow dark looming,Optogenetic inactivation during aIPg activation significantly decreases aggressive behaviors and increases inter-fly distance,Tracking conspecifics during close-range female aggression,"['two-photon calcium imaging', 'optogenetics (silencing)', 'behavioral tracking']",LC10a neurons detect medium-sized moving objects and are required for maintaining close-range aggression in females.
7bf6dbd0bbc3f1314d3bbfd463b024c120b4ac4a,Social state alters vision using three circuit mechanisms in Drosophila,LC9,experimental,qwen3.5:35b,Moving dark rectangles of varying sizes (two-photon imaging),"Preferentially tuned to smaller moving objects (~4.5° width, 2° height); prolonged response to slow dark looming",Optogenetic inactivation during aIPg activation does not decrease aggressive behaviors,Detection of smaller moving objects at varying distances,"['two-photon calcium imaging', 'optogenetics (silencing)', 'behavioral tracking']",LC9 neurons detect small moving objects but are not required for aIPg-mediated female aggression.
7bf6dbd0bbc3f1314d3bbfd463b024c120b4ac4a,Social state alters vision using three circuit mechanisms in Drosophila,LC11,experimental,qwen3.5:35b,Moving objects (behavioral silencing),Tuned to small moving objects (~4.5° angular width/height),Optogenetic inactivation during aIPg activation does not decrease aggressive behaviors,Detection of small moving objects during social interactions,"['optogenetics (silencing)', 'behavioral tracking']",LC11 neurons detect small moving objects but are not required for aIPg-mediated female aggression.
7bf6dbd0bbc3f1314d3bbfd463b024c120b4ac4a,Social state alters vision using three circuit mechanisms in Drosophila,IB112,experimental,qwen3.5:35b,aIPg activation (calcium imaging/electrophysiology); optogenetic silencing,Excitatory input from aIPg; glutamatergic (presumed inhibitory); outputs primarily to lobula interneuron Li22,Inactivation results in a prolonged decrease in aggression and touch behaviors,Centrifugal modulation of visual inputs to the brain during aggression,"['patch-clamp electrophysiology', 'calcium imaging', 'optogenetics (silencing)', 'behavioral tracking']","IB112 is a centrifugal neuron that mediates visual gain modulation, required for sustained female aggression."
7bf6dbd0bbc3f1314d3bbfd463b024c120b4ac4a,Social state alters vision using three circuit mechanisms in Drosophila,TuTuA_1,experimental,qwen3.5:35b,aIPg activation (electrophysiology/calcium imaging); optogenetic silencing/activation,Excitatory response to aIPg stimulation; glutamatergic; receives input from LC10a,Inhibition transiently decreases aggression during aIPg activation; no effect reported in absence of aIPg,Part of a toggle switch mechanism gating LC10a/LC10c transmission during aggression,"['patch-clamp electrophysiology', 'calcium imaging', 'optogenetics (silencing/activation)', 'behavioral tracking']","TuTuA_1 is excited by aIPg and inhibits LC10c, acting as one half of a visual pathway toggle switch."
7bf6dbd0bbc3f1314d3bbfd463b024c120b4ac4a,Social state alters vision using three circuit mechanisms in Drosophila,TuTuA_2,experimental,qwen3.5:35b,aIPg activation (electrophysiology/calcium imaging); optogenetic silencing/activation; visual target (males),Inhibitory response to aIPg (disynaptic via SMP054); glutamatergic; activity decreases during male courtship pursuit,Activation reduces aggression; inactivation increases aggression in the absence of aIPg activation,Toggle switch mechanism in females; gate visual processing during male courtship pursuit,"['patch-clamp electrophysiology', 'calcium imaging', 'optogenetics (silencing/activation)', 'tethered virtual reality']","TuTuA_2 is inhibited by aIPg and inhibits LC10a, acting as the other half of the toggle switch that regulates social behavior in both sexes."
a090c93077542c414480ef58ab7853b8e163391b,Synaptic enrichment and dynamic regulation of the two opposing dopamine receptors within the same neurons,PPL1 Dopamine Neurons,experimental,qwen3.5:35b,Starvation (24 hours); Appetitive olfactory conditioning (Odor + Sucrose reward),Dop2R protein levels significantly increased in PPL1-α3 terminals after starvation; Dop1R1 levels did not change,Knockdown of Dop2R in PPL1 neurons reduced 3-hour appetitive memory performance in T-maze assay,Starvation state-dependent modulation of appetitive behavior expression,"['Split-GFP tagging', 'Immunohistochemistry', 'Starvation protocol', 'T-maze appetitive conditioning']",Starvation increases Dop2R expression in PPL1 terminals; Dop2R knockdown in these neurons impairs appetitive memory.
a090c93077542c414480ef58ab7853b8e163391b,Synaptic enrichment and dynamic regulation of the two opposing dopamine receptors within the same neurons,PAM Dopamine Neurons,experimental,qwen3.5:35b,Starvation (10-48 hours),Dop1R1 protein levels significantly increased in PAM-γ5 terminals after starvation; Dop2R levels tended to decrease,,Starvation-dependent regulation of presynaptic dopamine signaling balance,"['Split-GFP tagging', 'Immunohistochemistry', 'Starvation protocol']","Starvation shifts the Dop1R1/Dop2R balance in PAM terminals, suggesting regulation of appetitive behaviors."
a090c93077542c414480ef58ab7853b8e163391b,Synaptic enrichment and dynamic regulation of the two opposing dopamine receptors within the same neurons,Kenyon Cells,experimental,qwen3.5:35b,,Dop1R1 and Dop2R proteins enriched in MB lobes and associated with presynaptic active zones (Brp puncta),,,"['Split-GFP tagging', 'Confocal imaging', 'Immunohistochemistry (Brp)']",Dopamine receptors are presynaptically localized in Kenyon cell axon terminals.
e84359b18d597f9282d7dc8188ead1bab3e80d70,Connectomic reconstruction predicts visual features used for navigation,"MeTu neurons (MeTu1, MeTu2, MeTu3, MeTu4 classes)",experimental,qwen3.5:35b,None (connectomic reconstruction),Electron microscopy reconstruction identified four major classes (MeTu1-4) and ten subtypes based on morphology and synaptic connectivity. MeTu1 forms a homogeneous group. MeTu2 innervates the dorsal rim area (DRA) and connects to polarization-sensitive ER neurons. MeTu3 includes subtypes with chromatic input (MeTu3b/c) and polarization input (MeTu3a). MeTu4 receives widefield inputs from large interneurons. MeTu3c is unique in encoding elevation.,Not tested,"Part of the anterior visual pathway (AVP) which encodes visual features essential for navigation, including landmarks, skylight polarization, and the two-dimensional organization of the scene.","['Electron microscopy (EM)', 'FlyWire connectomic platform']","Dense EM reconstruction classified MeTu neurons into four classes and ten subtypes based on medulla input and AOTU output connectivity, revealing distinct information channels for visual feature extraction."
e84359b18d597f9282d7dc8188ead1bab3e80d70,Connectomic reconstruction predicts visual features used for navigation,ER4d neurons,experimental,qwen3.5:35b,Square-shaped dot stimuli projected on a screen,"Two-photon calcium imaging showed dendritic calcium activity in the superior bulb. Receptive fields are vertically elongated (76° height, 31° width) and tile the visual space horizontally. Responded to ipsilateral visual stimuli.",Not tested,Vertical receptive fields are suitable for detecting visual landmarks or the azimuthal location of visual features for setting a heading during navigation.,"['Two-photon calcium imaging', 'Projector-based visual stimulation']","Physiological testing confirmed predicted receptive fields: ER4d neurons exhibit vertically elongated receptive fields, supporting a role in detecting vertical stimuli or azimuthal location."
e84359b18d597f9282d7dc8188ead1bab3e80d70,Connectomic reconstruction predicts visual features used for navigation,"ER2 neurons (ER2_ad, ER2_b, ER2_c)",experimental,qwen3.5:35b,Square-shaped dot stimuli projected on a screen,"Two-photon calcium imaging showed dendritic calcium activity in the superior bulb. Receptive fields are smaller (59° height, 30° width) and tile the visual space in two dimensions.",Not tested,Two-dimensional receptive fields support processing the two-dimensional organization of the surrounding environment or tracking the position of celestial bodies.,"['Two-photon calcium imaging', 'Projector-based visual stimulation']","Physiological testing confirmed predicted receptive fields: ER2 neurons exhibit smaller, two-dimensionally tiled receptive fields, suitable for processing scene organization."
1151325c644346dfb9ea0f29af1c48b7d054166f,Functional imaging and connectome analyses reveal organizing principles of taste circuits in Drosophila,peafowl TPN,experimental,qwen3.5:35b,"sucrose, glucose, arabinose, NaCl, bitter tastants, water",Responds primarily to sucrose with variable responses across subjects; dose-dependent activation by sucrose; activity increases with starvation relative to refed controls.,,Sweet taste processing; modulated by hunger state (feeding context).,"['Calcium imaging (GCaMP)', 'Connectome analysis']",peafowl TPNs are sweet-responsive and indirectly connected via cholinergic LNs; their activity is modulated by hunger state (starvation increases response to sucrose).
1151325c644346dfb9ea0f29af1c48b7d054166f,Functional imaging and connectome analyses reveal organizing principles of taste circuits in Drosophila,mlSEZt TPN,experimental,qwen3.5:35b,"lobeline, other bitter tastants, NaCl, water",Responds to multiple bitter tastants with clear peaks at stimulus onset and removal; dose-dependent activation by lobeline; receives direct and indirect inputs from bitter GRNs.,,Bitter taste processing (aversive compounds).,"['Calcium imaging (GCaMP)', 'Connectome analysis']","mlSEZt TPNs are bitter-responsive, receiving direct and indirect inputs from bitter GRNs, and show dose-dependent activation by bitter tastants."
1151325c644346dfb9ea0f29af1c48b7d054166f,Functional imaging and connectome analyses reveal organizing principles of taste circuits in Drosophila,GNG.SLP.T1 TPN,experimental,qwen3.5:35b,"NaCl, other salts, water, sucrose, bitter tastants",Responds primarily to salts (monovalent and divalent) with dose-dependent activation; minor response to water; salt response depends on IR76b; receives almost entirely direct inputs from IR94e GRNs.,,Salt taste processing.,"['Calcium imaging (GCaMP)', 'Genetic manipulation (mutants)', 'Immunohistochemistry']",GNG.SLP.T1 TPNs are salt-responsive and receive direct inputs from IR94e GRNs; salt responses are validated as genuine taste responses dependent on IR76b.
1151325c644346dfb9ea0f29af1c48b7d054166f,Functional imaging and connectome analyses reveal organizing principles of taste circuits in Drosophila,Cholinergic LNs (SEZ),experimental,qwen3.5:35b,"water, 1 M sucrose, 50 mM CaCl2, bitter mixture, ATP","62% singly tuned, 38% multiply tuned; low proportion respond to both sucrose and bitter; tuning predictable by direct GRN inputs; subsets (e.g., rattle) show no hunger modulation.",,General taste processing; integration of sensory information; some subsets modulated by internal state.,"['Calcium imaging (GCaMP)', 'Connectome analysis', 'Computational modeling']","SEZ cholinergic LNs receive inputs from GRNs, are largely singly tuned, and serve as nodes for feedforward information transfer to TPNs."
1151325c644346dfb9ea0f29af1c48b7d054166f,Functional imaging and connectome analyses reveal organizing principles of taste circuits in Drosophila,GABAergic LNs (SEZ),experimental,qwen3.5:35b,"water, 1 M sucrose, 50 mM CaCl2, bitter mixture, ATP","67% singly tuned, 33% multiply tuned; bitter and IR94e GRNs share connectivity with specific GABAergic LNs; low proportion respond to both sucrose and bitter.",,General taste processing; inhibition and integration of sensory information.,"['Calcium imaging (GCaMP)', 'Connectome analysis']","SEZ GABAergic LNs receive inputs from GRNs, are largely singly tuned, and show shared connectivity between bitter and IR94e GRNs."
1151325c644346dfb9ea0f29af1c48b7d054166f,Functional imaging and connectome analyses reveal organizing principles of taste circuits in Drosophila,rattle LN,experimental,qwen3.5:35b,1 M sucrose,Responds to sucrose; response not modulated by hunger state (no difference between starved and refed conditions).,,Sweet taste processing; organizational node not sensitive to hunger state.,"['Calcium imaging (GCaMP)', 'Connectome analysis']","rattle LNs are cholinergic, respond to sucrose, but are not modulated by hunger, distinguishing them from other sweet-responsive LNs."
1151325c644346dfb9ea0f29af1c48b7d054166f,Functional imaging and connectome analyses reveal organizing principles of taste circuits in Drosophila,marge LN,experimental,qwen3.5:35b,1 M sucrose,Responds to sucrose; response increases with starvation relative to refed controls; postsynaptic inputs from sweet/water GRNs differ from rattle LNs.,,Sweet taste processing; modulated by hunger state (feeding context).,"['Calcium imaging (GCaMP)', 'Connectome analysis']","marge LNs are cholinergic, respond to sucrose, and show hunger modulation (increased response with starvation), passing modulation to downstream TPNs."
df96744c1b9c56b2d5baad6f497c0433d8a9ebc9,Columnar cholinergic neurotransmission onto T5 cells of Drosophila,T5 cells,experimental,qwen3.5:35b,OFF edges (dark edges) moving in 16 directions,Calcium responses (ΔF/F) monitored in T5c axonal terminals (LOP3). Knockdown of nAChRα4 or nAChRα5 increased responses to non-preferred directions. Knockdown of nAChRα7 or mAChR-B increased responses to preferred and/or null directions.,Fly-on-ball optomotor response. Knockdown of nAChRα5 or nAChRα7 decreased angular velocity amplitude to horizontal OFF edges. Knockdown of nAChRα4 or mAChR-B increased angular velocity amplitude to horizontal OFF edges.,Motion vision is important for survival and navigation. Optomotor response involves corrective steering maneuvers in flight or walking trajectories.,"['Two-photon calcium imaging', 'Fly-on-ball optomotor response assay', 'RNAi knockdown', 'Confocal microscopy', 'Immunohistochemistry']","T5 cells are primary OFF-motion sensing neurons. Specific AChR knockdowns altered T5 directional tuning (calcium responses) and the optomotor response (angular velocity), indicating nAChRα5/α7 are required for normal amplitude while α4/mAChR-B influence gain."
df96744c1b9c56b2d5baad6f497c0433d8a9ebc9,Columnar cholinergic neurotransmission onto T5 cells of Drosophila,"Tm1, Tm2, Tm4, Tm9",experimental,qwen3.5:35b,,,,,"['Confocal microscopy', 'Synaptic markers (Brpshort::mStraw)', 'EM analysis (FlyWire)']","Tm1, Tm2, and Tm4 are excitatory cholinergic input neurons to T5 primarily using nAChRα5 subunits at synapses. Tm9 is an excitatory cholinergic input neuron primarily using nAChRα7 subunits at synapses."
cbf58c6dff5e3a8f443d9c0666b8ed0100ad478a,Neural circuit mechanisms underlying context-specific halting in Drosophila,Foxglove (FG),experimental,qwen3.5:35b,"Optogenetic activation (CsChrimson), silencing (GtACR1), and co-activation with walking neurons (P9, BPN); sugar gustatory receptor neuron (GRN) activation",GABAergic (inhibitory) SEZ neurons; strongly recruited by sugar GRN stimulation; inhibits descending neurons oDN1 and BDN2,Drives halting during walking by suppressing forward walking components of P9 and BPN; silencing reduces stopping bouts when encountering sucrose,Recruited during feeding and foraging contexts to halt locomotion upon food detection,"['optogenetics', 'in vivo calcium imaging', 'connectome modeling', 'behavioral assays']",FG neurons are GABAergic SEZ neurons that mediate halting during feeding by inhibiting forward walking-promotion nodes oDN1 and BDN2.
cbf58c6dff5e3a8f443d9c0666b8ed0100ad478a,Neural circuit mechanisms underlying context-specific halting in Drosophila,Bluebell (BB),experimental,qwen3.5:35b,"Optogenetic activation (CsChrimson), silencing (GtACR1), and co-activation with walking neurons (P9, BPN); sugar GRN activation",GABAergic (inhibitory) SEZ neurons; weakly recruited by sugar GRN stimulation compared to FG; inhibits turning components of P9 pathway,Drives halting interspersed with leg movements; suppresses forward turning induced by P9; silencing affects stopping duration and velocity near food,Recruited during feeding and foraging contexts to constrain forward and angular velocities following food encounter,"['optogenetics', 'connectome modeling', 'behavioral assays']","BB neurons are GABAergic SEZ neurons that mediate halting during feeding, specifically suppressing forward turning components of the walking circuit."
cbf58c6dff5e3a8f443d9c0666b8ed0100ad478a,Neural circuit mechanisms underlying context-specific halting in Drosophila,Brake (BRK),experimental,qwen3.5:35b,"Optogenetic activation (CsChrimson), silencing (GtACR1), and in vivo VNC imaging; grooming induction via powder",Excitatory (potentially cholinergic) ascending neurons with somata in VNC neuromeres; recruits inhibitory neurons in SEZ; drives resistance reflex-like muscle activity,"Drives strong, freeze-like halting by locking leg joints in stance phase and increasing resistance at leg joints; silencing causes destabilization during grooming",Recruited segment-specific manner during grooming to halt and stabilize the posture of non-grooming legs,"['optogenetics', 'in vivo calcium imaging', '3D leg kinematics', 'muscle imaging', 'behavioral assays']",BRK neurons are ascending VNC neurons that drive active halting during grooming by inhibiting walking commands and increasing joint resistance.
cbf58c6dff5e3a8f443d9c0666b8ed0100ad478a,Neural circuit mechanisms underlying context-specific halting in Drosophila,Sugar Gustatory Receptor Neurons (Sugar GRNs),experimental,qwen3.5:35b,Optogenetic activation (ChrimsonR),Strongly recruit FG neurons in SEZ; weakly recruit BB neurons in SEZ,Activation leads to recruitment of halting pathways (FG) to induce stopping behavior,Mediate detection of sucrose during feeding and foraging,"['optogenetics', 'in vivo calcium imaging', 'connectome modeling']",Sugar GRNs are sensory neurons that recruit halting neurons (specifically FG) upon sucrose detection to initiate stopping.
cbf58c6dff5e3a8f443d9c0666b8ed0100ad478a,Neural circuit mechanisms underlying context-specific halting in Drosophila,BDN2,experimental,qwen3.5:35b,Optogenetic activation (CsChrimson) and silencing (GtACR1); in vivo calcium imaging,Activity strongly correlated with forward velocity but not angular velocity; inhibited by FG but not BB,Activation drives walking initiation; silencing reduces forward velocity during spontaneous walking,Critical for spontaneous forward walking,"['optogenetics', 'in vivo calcium imaging', 'connectome modeling']",BDN2 is a descending neuron whose activity correlates with forward velocity and is a key node inhibited by halt neurons to reduce walking.
